Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes
Stillbirth,Germany,,brutal death metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=19667,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,2026 Gothoom lineup
Stillborn,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=11339,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Storm & Stress,Germany,Ibbenbueren,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=6699,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Storm Unleashed,Germany,Olpe,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=29304,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Stormage,Germany,Attendorn,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=24535,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Stormgarde,Germany,Recklinghausen,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=3332,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Stormhammer,Germany,München,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=2190,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Stormrider,Germany,Herne,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=14586,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Stormwarrior,Germany,Hamburg,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=3143,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Stormwitch,Germany,Heidenheim,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=1905,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Stos,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=9070,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Straight Hate,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=18713,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Straightline,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=18958,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Strain,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=16559,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Strangelet,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=19528,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Strommoussheld,Poland,Katowice,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=1958,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Structural Defect,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=4103,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Strydegor,Germany,Hagenow,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=18866,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Sturmovik,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=21340,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Sub-Urban Death,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=24781,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Subsignal,Germany,Munich,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=7560,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Subway to Sally,Germany,Potsdam,"folk rock, metal",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=2697,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Such a Surge,Germany,Brandenburg,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=1632,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Sudden Death,Germany,Osnabrück,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=3730,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Suffering Mind,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=10058,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Suffocate Bastard,Germany,Herten,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=5113,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Suicide Solution,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=2579,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Suidakra,Germany,,"folk metal, melodic death",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=1567,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Sula Bassana,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=14024,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Sulphur Aeon,Germany,,death metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=15104,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Sun Worship,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=21234,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Sunczar,Germany,Frankfurt,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=29604,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Sunnata,Poland,Warsaw,"doom metal, stoner",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=23055,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Suns of Thyme,Germany,Berlin,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=22961,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Superior,Germany,Kaiserslautern,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=2871,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Supreme Conception,Czechia,Prague,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=29380,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Supreme Lord,Poland,Zielona Góra,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=1826,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
