Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes,Decision,Decision_Reason,Verified_Source,Verified_Date,Verified_Country,Verified_Genre,Verified_Status,Confidence_New,Evidence
RaF,,,,,https://www.facebook.com/profile.php?id=61551032519958,,,https://www.facebook.com/profile.php?id=61551032519958,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/profile.php?id=61551032519958,2026-09-23,,,,Low,no decisive current signal
Radio Afera — Pralka,,Poznań,,pralka@afera.com.pl,,https://www.afera.com.pl/,,https://www.afera.com.pl/,,2026-09-22,,,,,,"NOWY LEAD 05.09. Ta sama stacja, inny profil.",REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://www.afera.com.pl/,2026-09-23,,,,High,entity-type rule
Radio Afera — Thrashing Madness,,Poznań,,thrashingmadness@afera.com.pl,,https://www.afera.com.pl/,,https://www.afera.com.pl/,,2026-09-22,,,,,,NOWY LEAD 05.09. Gmail: brak historii.,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://www.afera.com.pl/,2026-09-23,,,,High,entity-type rule
Radio Akadera — Huta Zwierzyniecka 4,,Białystok,,s.michalowski@akadera.bialystok.pl,,https://akadera.bialystok.pl/,,https://akadera.bialystok.pl/,,2026-09-22,,,,,,NOWY LEAD 05.09. Gmail: brak historii. Prowadzący deklaruje zainteresowanie undergroundem.,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://akadera.bialystok.pl/,2026-09-23,,,,High,entity-type rule
Radio Akadera — Rockowa Niedziela,,Białystok,,m.podgorski@akadera.bialystok.pl,,https://akadera.bialystok.pl/,,https://akadera.bialystok.pl/,,2026-09-22,,,,,,NOWY LEAD 05.09. Deduplikacja wewnątrz stacji.,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://akadera.bialystok.pl/,2026-09-23,,,,High,entity-type rule
Radio Asymetria,,Online,,radio@radioasymetria.net,,https://radioasymetria.net/,,https://radioasymetria.net/,,2026-09-22,,,,,,Paweł potwierdził przekazanie sprawy Sanity Check Tour do kolegi Sezona; bezpośredni adres: sezon@radioasymetria.net.,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://radioasymetria.net/,2026-09-23,,,,High,entity-type rule
Radio Gorzów,,Gorzów Wielkopolski,,radio@radiogorzow.pl,,https://radiogorzow.pl/,,https://radiogorzow.pl/,,2026-09-22,,,,,,RADIO_PODCAST,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://radiogorzow.pl/,2026-09-23,,,,High,entity-type rule
Radio LUZ / Z Piekła Rodem,,Wrocław,,luz@radioluz.pl,,https://radioluz.pl/,,https://radioluz.pl/,,2026-09-22,,,,,,"Kilka kontaktów VIRYA, w tym świeży pitch 02.09. Nie spamować.",REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://radioluz.pl/,2026-09-23,,,,High,entity-type rule
Radio RAM / Muzyczny Wrocław,,Wrocław,,maciejszabatowski@radioram.pl,,https://www.radioram.pl/,,https://www.radioram.pl/,,2026-09-22,,,,,,Relacja aktywna; dwa wejścia antenowe potwierdzone przed koncertem 11.09.,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://www.radioram.pl/,2026-09-23,,,,High,entity-type rule
Radio UWM FM — Zakład Patologii Dźwięku,,Olsztyn,,pisz@uwmfm.pl,,https://uwmfm.pl/,,https://uwmfm.pl/,,2026-09-22,,,,,,NOWY LEAD 05.09. Gmail: brak wcześniejszego kontaktu.,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://uwmfm.pl/,2026-09-23,,,,High,entity-type rule
