Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes,Decision,Decision_Reason,Verified_Source,Verified_Date,Verified_Country,Verified_Genre,Verified_Status,Confidence_New,Evidence
Rocken Hilft Festival,,,,,https://www.rockenhilft-festival.de/kontakt?lang=en,,,https://www.rockenhilft-festival.de/kontakt?lang=en,,2026-09-22,,,,,,,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://www.rockenhilft-festival.de/kontakt?lang=en,2026-09-23,,,,High,entity-type rule
Rockfestivwal Skała,,,,,https://rockfestival.cksir-skala.pl/,,,https://rockfestival.cksir-skala.pl/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://rockfestival.cksir-skala.pl/,2026-09-23,,,,Low,no decisive current signal
Rockokop,,,,,https://rockokop.pl/,,,https://rockokop.pl/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://rockokop.pl/,2026-09-23,,,,Low,no decisive current signal
Rockowa Noc,,,,,https://rockowanoc.pl/konkursowy-przeglad-zespolow/,,,https://rockowanoc.pl/konkursowy-przeglad-zespolow/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://rockowanoc.pl/konkursowy-przeglad-zespolow/,2026-09-23,,,,Low,no decisive current signal
Rockowania,,,,,https://mdkmlawa.com/aktualnosci/2025/10/rokowania-2025-lista-zakwalifikowanych-zespolow/,,,https://mdkmlawa.com/aktualnosci/2025/10/rokowania-2025-lista-zakwalifikowanych-zespolow/,,2026-09-22,,,,,,,KEEP,Existing row already has a concrete 2025/2026 source or activity marker,https://mdkmlawa.com/aktualnosci/2025/10/rokowania-2025-lista-zakwalifikowanych-zespolow/,2026-09-23,,,Active,Medium,existing current source/activity
Roksana Rymarczyk,,,,,https://www.youtube.com/@roksanarymarczyk,,,https://www.youtube.com/@roksanarymarczyk,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.youtube.com/@roksanarymarczyk,2026-09-23,,,,Low,no decisive current signal
Rozłupnia Fest,,,,,https://www.facebook.com/profile.php?id=61572651145159,,,https://www.facebook.com/profile.php?id=61572651145159,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/profile.php?id=61572651145159,2026-09-23,,,,Low,no decisive current signal
SIC,,,,,https://www.facebook.com/profile.php?id=61572261596453,,,https://www.facebook.com/profile.php?id=61572261596453,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/profile.php?id=61572261596453,2026-09-23,,,,Low,no decisive current signal
SLOT Art,,,,,https://slot.art.pl/pl/,,,https://slot.art.pl/pl/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://slot.art.pl/pl/,2026-09-23,,,,Low,no decisive current signal
SPI NIE ŚPI / Ośrodek Kultury Andaluzja,,Piekary Śląskie,,spi_nie_spi@okandaluzja.pl,,https://okandaluzja.pl/,,https://okandaluzja.pl/,,2026-09-22,,,,,,W starej bazie jako nationwide review z profesjonalnym finałem.,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://okandaluzja.pl/,2026-09-23,,,,Low,no decisive current signal
