Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes,Decision,Decision_Reason,Verified_Source,Verified_Date,Verified_Country,Verified_Genre,Verified_Status,Confidence_New,Evidence
Samhain,,,,,https://samhainfestival.com/,,,https://samhainfestival.com/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://samhainfestival.com/,2026-09-23,,,,Low,no decisive current signal
Season of Mist — Prog Metal & Beyond,,Online,,playlist.submissions@season-of-mist.com,,https://open.spotify.com/playlist/3vWUQYACcyd8N9xy5E0BXf,,https://open.spotify.com/playlist/3vWUQYACcyd8N9xy5E0BXf,,2026-09-22,,,,,,Aktywna playlista prog metal; publiczny submission email.,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://open.spotify.com/playlist/3vWUQYACcyd8N9xy5E0BXf,2026-09-23,,,,Low,no decisive current signal
Serce Ziemi,,,,,http://www.youtube.com/@serceziemi,,,http://www.youtube.com/@serceziemi,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,http://www.youtube.com/@serceziemi,2026-09-23,,,,Low,no decisive current signal
Sick Saints,,,,,https://www.facebook.com/sicksaints.music,,,https://www.facebook.com/sicksaints.music,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/sicksaints.music,2026-09-23,,,,Low,no decisive current signal
Skoncertowana.pl,,Online,,redakcja@skoncertowana.pl,,https://www.skoncertowana.pl/,,https://www.skoncertowana.pl/,,2026-09-22,,,,,,NOWY LEAD 05.09. Gmail: brak historii. Portal publikuje aktualne fotorelacje metalowe.,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.skoncertowana.pl/,2026-09-23,,,,Low,no decisive current signal
Skowronkowy Jarzmin,,,,,https://www.facebook.com/skowronkowyjarzmin/?locale=pl_PL,,,https://www.facebook.com/skowronkowyjarzmin/?locale=pl_PL,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/skowronkowyjarzmin/?locale=pl_PL,2026-09-23,,,,Low,no decisive current signal
Skowyt Fest,,,,,https://www.facebook.com/skowyt.fest,,,https://www.facebook.com/skowyt.fest,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/skowyt.fest,2026-09-23,,,,Low,no decisive current signal
Sobel,,,,,https://www.facebook.com/simonsobelofficial/,,,https://www.facebook.com/simonsobelofficial/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/simonsobelofficial/,2026-09-23,,,,Low,no decisive current signal
Sonic Whip,,,,,https://www.doornroosje.nl/festival/sonic-whip/,,,https://www.doornroosje.nl/festival/sonic-whip/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.doornroosje.nl/festival/sonic-whip/,2026-09-23,,,,Low,no decisive current signal
South Of Heaven Festival,,,,,https://www.facebook.com/southofheavenfestival,,,https://www.facebook.com/southofheavenfestival,,2026-09-22,,,,,,,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://www.facebook.com/southofheavenfestival,2026-09-23,,,,High,entity-type rule
