Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes,Decision,Decision_Reason,Verified_Source,Verified_Date,Verified_Country,Verified_Genre,Verified_Status,Confidence_New,Evidence
Zakręć Śmigłem Fest!,,,,,https://linktr.ee/Zsfestiwal,,,https://linktr.ee/Zsfestiwal,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://linktr.ee/Zsfestiwal,2026-09-23,,,,Low,no decisive current signal
Zgrane,,,,,https://www.facebook.com/zgrane,,,https://www.facebook.com/zgrane,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/zgrane,2026-09-23,,,,Low,no decisive current signal
Zmarlym,,Końskie,death metal,,,,,https://www.metal-archives.com/,,2026-09-22,,,,,,Current record/addition verified in 2026.,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.metal-archives.com/,2026-09-23,,death metal,,Low,no decisive current signal
festiwal WYKOPALISKA Rekowo,,,,,https://www.facebook.com/festiwalWYKOPALISKArekowo,,,https://www.facebook.com/festiwalWYKOPALISKArekowo,,2026-09-22,,,,,,,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://www.facebook.com/festiwalWYKOPALISKArekowo,2026-09-23,,,,High,entity-type rule
moktis,,,,,https://drive.google.com/file/d/18739XcSqSKx9nRxI9sHU045t2JN32imQ/view?fbclid=IwZXh0bgNhZW0CMTEAAR01B6oHGIUpvfsc3npr-Nvunt8vI8zT-dwD0OivWptoqv621PRJjUio1wM_aem_ARufuPV17cA6uP0oexOARQ,,,https://drive.google.com/file/d/18739XcSqSKx9nRxI9sHU045t2JN32imQ/view?fbclid=IwZXh0bgNhZW0CMTEAAR01B6oHGIUpvfsc3npr-Nvunt8vI8zT-dwD0OivWptoqv621PRJjUio1wM_aem_ARufuPV17cA6uP0oexOARQ,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://drive.google.com/file/d/18739XcSqSKx9nRxI9sHU045t2JN32imQ/view?fbclid=IwZXh0bgNhZW0CMTEAAR01B6oHGIUpvfsc3npr-Nvunt8vI8zT-dwD0OivWptoqv621PRJjUio1wM_aem_ARufuPV17cA6uP0oexOARQ,2026-09-23,,,,Low,no decisive current signal
młody domson,,,,,https://www.youtube.com/channel/UCHNxIzL_uUBYHUIlpq14Fgw,,,https://www.youtube.com/channel/UCHNxIzL_uUBYHUIlpq14Fgw,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.youtube.com/channel/UCHNxIzL_uUBYHUIlpq14Fgw,2026-09-23,,,,Low,no decisive current signal
rockmetal.pl — kalendarz koncertowy,,Online,,rockmetal@rockmetal.pl,,https://www.rockmetal.pl/,,https://www.rockmetal.pl/,,2026-09-22,,,,,,Gmail: wcześniejszy media pitch 26.07.2026 i starszy kontakt 2025. Osobny cel teraz = listing wydarzenia.,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.rockmetal.pl/,2026-09-23,,,,Low,no decisive current signal
yzzesvko,,,,,https://www.youtube.com/channel/UCj01iJ2BpSxeYHYI_RXoQnw,,,https://www.youtube.com/channel/UCj01iJ2BpSxeYHYI_RXoQnw,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.youtube.com/channel/UCj01iJ2BpSxeYHYI_RXoQnw,2026-09-23,,,,Low,no decisive current signal
Łasuch,,,,,https://www.facebook.com/uasuch/,,,https://www.facebook.com/uasuch/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/uasuch/,2026-09-23,,,,Low,no decisive current signal
Łopen Fest,,,,,https://www.facebook.com/p/%C5%81OPEN-FEST-61565817302393/,,,https://www.facebook.com/p/%C5%81OPEN-FEST-61565817302393/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/p/%C5%81OPEN-FEST-61565817302393/,2026-09-23,,,,Low,no decisive current signal
