Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes,Decision,Decision_Reason,Verified_Source,Verified_Date,Verified_Country,Verified_Genre,Verified_Status,Confidence_New,Evidence
Tarantula,,,,,https://www.facebook.com/profile.php?id=61577296134311,,,https://www.facebook.com/profile.php?id=61577296134311,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/profile.php?id=61577296134311,2026-09-23,,,,Low,no decisive current signal
TataMati,,,,,https://www.facebook.com/Matitotata,,,https://www.facebook.com/Matitotata,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/Matitotata,2026-09-23,,,,Low,no decisive current signal
Telewizja Gorzów,,Gorzów Wielkopolski,,reklama@telewizjagorzow.pl,,https://www.telewizjagorzow.pl/,,https://www.telewizjagorzow.pl/,,2026-09-22,,,,,,16.09 wysłano korektę starego składu VIRYA w istniejącym listingu; wpis miał Marka Bieniasa zamiast Marcina Janusińskiego. W tym samym mailu miękko zapytano o zapowiedź/patronat.,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.telewizjagorzow.pl/,2026-09-23,,,,Low,no decisive current signal
Tennkey,,,,,https://www.facebook.com/tennkey10k,,,https://www.facebook.com/tennkey10k,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/tennkey10k,2026-09-23,,,,Low,no decisive current signal
Teraz Rock / TerazMuzyka,,Warszawa,,terazrock@terazrock.pl,,https://www.terazmuzyka.pl/,,https://www.terazmuzyka.pl/,,2026-09-22,,,,,,Gmail: kilka wcześniejszych zgłoszeń 2024–2025.,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.terazmuzyka.pl/,2026-09-23,,,,Low,no decisive current signal
The MetalList,,Online,,info@themetalllist.com,,https://themetallist.com/,,https://themetallist.com/,,2026-09-22,,,,,,QA 2026-09-12: oficjalna strona kontaktowa The MetalList podaje info@themetalllist.com. Portal nadal aktywny; Gmail dedupe: brak historii. Nie wysyłać bez akceptacji.,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://themetallist.com/,2026-09-23,,,,Low,no decisive current signal
The Moshville Times / Moshville Radio,,Online,,radio@moshville.co.uk,,https://moshville.co.uk/,,https://moshville.co.uk/,,2026-09-22,,,,,,"QA 2026-09-12: Moshville aktywne; contact page przyjmuje albumy/EP do review, Moshville Radio publikuje adres radio@moshville.co.uk. Gmail dedupe: brak historii.",REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://moshville.co.uk/,2026-09-23,,,,High,entity-type rule
The Sixpounder,,,"alternative, modern metal",,,,,https://app.chartmetric.com/,,2026-09-22,,,,,,Social footprint verified; add city/contact during next pass.,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://app.chartmetric.com/,2026-09-23,,"alternative, modern metal",,Low,no decisive current signal
The Splithead,,,,,https://www.facebook.com/profile.php?id=61584635793463,,,https://www.facebook.com/profile.php?id=61584635793463,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/profile.php?id=61584635793463,2026-09-23,,,,Low,no decisive current signal
Thronehammer,Germany,,doom metal,,,,,https://www.tourforger.com/concerts/doom-stoner-sludge/germany/2026,2026 activity verified,2026-09-22,,High,,,Contact page/source needed,2026 club/festival listings,KEEP,Existing row already has a concrete 2025/2026 source or activity marker,https://www.tourforger.com/concerts/doom-stoner-sludge/germany/2026,2026-09-23,Germany,doom metal,Active,Medium,existing current source/activity
