Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes,Decision,Decision_Reason,Verified_Source,Verified_Date,Verified_Country,Verified_Genre,Verified_Status,Confidence_New,Evidence
Pe.,,,,,https://www.facebook.com/peoficjalnie23,,,https://www.facebook.com/peoficjalnie23,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/peoficjalnie23,2026-09-23,,,,Low,no decisive current signal
Pielesze,,,,,https://www.facebook.com/Pielesze-102233094689985/,,,https://www.facebook.com/Pielesze-102233094689985/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/Pielesze-102233094689985/,2026-09-23,,,,Low,no decisive current signal
Pietrasonica Fest,,,,,https://www.facebook.com/pietrasonica,,,https://www.facebook.com/pietrasonica,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/pietrasonica,2026-09-23,,,,Low,no decisive current signal
Pieśni LYE,,,,,https://www.facebook.com/profile.php?id=61579660711063,,,https://www.facebook.com/profile.php?id=61579660711063,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/profile.php?id=61579660711063,2026-09-23,,,,Low,no decisive current signal
PolandRock 2025,,,,,https://polandrockfestival.pl/eliminacje,,,https://polandrockfestival.pl/eliminacje,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://polandrockfestival.pl/eliminacje,2026-09-23,,,,Low,no decisive current signal
Polskie Radio PiK — Muzyka Spoza Układu,,Bydgoszcz,,msu@radiopik.pl,,https://www.radiopik.pl/,,https://www.radiopik.pl/,,2026-09-22,,,,,,NOWY LEAD 05.09. Gmail: brak historii.,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://www.radiopik.pl/,2026-09-23,,,,High,entity-type rule
Prog Radio,,Online,,submissions@progradio.com,,https://www.progradio.com/submissions,,https://www.progradio.com/submissions,,2026-09-22,,,,,,"VIRYA ma pełny album 2025, więc spełnia preferencję stacji.",REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://www.progradio.com/submissions,2026-09-23,,,,High,entity-type rule
Progresja,,Warszawa,,,,https://progresja.com/,,https://progresja.com/,,2026-09-22,,,,,,Oficjalna ścieżka kontaktu/formularz.,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://progresja.com/,2026-09-23,,,,Low,no decisive current signal
Przegląd Kapel Rockowych '25,,,,,https://www.lck.art.pl/aktualnosci/przeglad-kapel-rockowych-25-luxtorpeda,,,https://www.lck.art.pl/aktualnosci/przeglad-kapel-rockowych-25-luxtorpeda,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.lck.art.pl/aktualnosci/przeglad-kapel-rockowych-25-luxtorpeda,2026-09-23,,,,Low,no decisive current signal
Pół Tony,,,,,https://www.facebook.com/profile.php?id=100090102833249,,,https://www.facebook.com/profile.php?id=100090102833249,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/profile.php?id=100090102833249,2026-09-23,,,,Low,no decisive current signal
