Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes,Decision,Decision_Reason,Verified_Source,Verified_Date,Verified_Country,Verified_Genre,Verified_Status,Confidence_New,Evidence
Radio Wrocław,,Wrocław,,promocja@radiowroclaw.pl,,https://www.radiowroclaw.pl/,,https://www.radiowroclaw.pl/,,2026-09-22,,,,,,Historyczne kontakty + event-specific pitch.,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://www.radiowroclaw.pl/,2026-09-23,,,,High,entity-type rule
Ragnaroek Festival,,,,,https://ragnaroek-festival.com/impressum/,,,https://ragnaroek-festival.com/impressum/,,2026-09-22,,,,,,,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://ragnaroek-festival.com/impressum/,2026-09-23,,,,High,entity-type rule
Raptor Festival - die Matrix,,,,,https://raptor-festival.de/,,,https://raptor-festival.de/,,2026-09-22,,,,,,,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://raptor-festival.de/,2026-09-23,,,,High,entity-type rule
RoCK Festiwal — Ogólnopolski Konkurs Muzyki Rockowej,,Kołobrzeg,,rock.festiwal@rck.kolobrzeg.eu,,https://rck.kolobrzeg.eu/,,https://rck.kolobrzeg.eu/,,2026-09-22,,,,,,"NOWY LEAD. Gmail: brak historii. 2026: udział bezpłatny, finał 21.08, nagrody 5000/3000/1000 PLN + zaproszenie zwycięzcy do kolejnej edycji.",REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://rck.kolobrzeg.eu/,2026-09-23,,,,High,entity-type rule
Rock Alliance,,,,,https://rock-alliance.eu/,,,https://rock-alliance.eu/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://rock-alliance.eu/,2026-09-23,,,,Low,no decisive current signal
Rock Area,,Online,,rockarea@interia.eu,,https://www.rockarea.pl/,,https://www.rockarea.pl/,,2026-09-22,,,,,,"Ciepły kontakt, zainteresowanie recenzją; blokada duplikatu.",REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.rockarea.pl/,2026-09-23,,,,Low,no decisive current signal
Rock The Square,,,,,https://www.facebook.com/rockthesquarecsk,,,https://www.facebook.com/rockthesquarecsk,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/rockthesquarecsk,2026-09-23,,,,Low,no decisive current signal
Rock am Palast,,,,,https://www.facebook.com/rockampalast/,,,https://www.facebook.com/rockampalast/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/rockampalast/,2026-09-23,,,,Low,no decisive current signal
Rock may Festival,,,,,https://cekis.pl/projekty/rock-may-festival/,,,https://cekis.pl/projekty/rock-may-festival/,,2026-09-22,,,,,,,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://cekis.pl/projekty/rock-may-festival/,2026-09-23,,,,High,entity-type rule
Rock pod Żyrafą,,Tychy,,zgloszenia@mck.tychy.pl,,https://kultura.tychy.pl/,,https://kultura.tychy.pl/,,2026-09-22,,,,,,"NOWY LEAD 05.09. W 2026: 2500 PLN dla finalistów, 7000 PLN nagrody + 7000 PLN za kolejny koncert.",REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://kultura.tychy.pl/,2026-09-23,,,,Low,no decisive current signal
