Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes,Decision,Decision_Reason,Verified_Source,Verified_Date,Verified_Country,Verified_Genre,Verified_Status,Confidence_New,Evidence
Warakomski,,,,,https://www.facebook.com/warakomski.oficjalnie,,,https://www.facebook.com/warakomski.oficjalnie,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/warakomski.oficjalnie,2026-09-23,,,,Low,no decisive current signal
Winiary Bookings,,Poznań,,supporty@winiarybookings.pl,,https://winiarybookings.pl/,,https://winiarybookings.pl/,,2026-09-22,,,,,,Świeży outreach 04.09.2026. Zero duplikatu.,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://winiarybookings.pl/,2026-09-23,,,,Low,no decisive current signal
Wisielec,,,,,https://www.facebook.com/Wisielec.band/,,,https://www.facebook.com/Wisielec.band/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/Wisielec.band/,2026-09-23,,,,Low,no decisive current signal
Wrath of God Mini Fest,,,,,https://www.facebook.com/wrathofgodsminifest,,,https://www.facebook.com/wrathofgodsminifest,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/wrathofgodsminifest,2026-09-23,,,,Low,no decisive current signal
Wrocław GO / Wydarzenia we Wrocławiu,,Wrocław,,,,https://www.wroclaw.pl/go/,,https://www.wroclaw.pl/go/,,2026-09-22,,,,,,"NOWY PROMO LEAD OSv2 RUN1. Formularz wymaga grafiki, e-maila i telefonu kontaktowego. | Fresh QA 2026-09-10: weekendowy artykuł Wrocław GO 11–13.09 pokazuje 101 wydarzeń, exact VIRYA/NOOMN nie znaleziony w bieżącym wyszukaniu.",REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.wroclaw.pl/go/,2026-09-23,,,,Low,no decisive current signal
Wroff,,,,,https://wrofflaw.pl/,,,https://wrofflaw.pl/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://wrofflaw.pl/,2026-09-23,,,,Low,no decisive current signal
WzRocK TV,,Wrocław,,wzrocktv@gmail.com,,https://www.wzrock.pl/,,https://www.wzrock.pl/,,2026-09-22,,,,,,Historyczny event-specific outreach.,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.wzrock.pl/,2026-09-23,,,,Low,no decisive current signal
X-Stacja,,Online / Gorzów context,,info@x-stacja.pl,,https://x-stacja.pl/,,https://x-stacja.pl/,,2026-09-22,,,,,,15.09 wysłany spersonalizowany patronage pitch pod Sanity Check Tour 17.10; brak odpowiedzi na 16.09.,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://x-stacja.pl/,2026-09-23,,,,Low,no decisive current signal
ZEW się budzi Festiwal,,,,,https://www.facebook.com/zewsiebudzi,,,https://www.facebook.com/zewsiebudzi,,2026-09-22,,,,,,,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://www.facebook.com/zewsiebudzi,2026-09-23,,,,High,entity-type rule
ZEW się budzikonkurs,,,,,https://konkurs.zewsiebudzi.pl/,,,https://konkurs.zewsiebudzi.pl/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://konkurs.zewsiebudzi.pl/,2026-09-23,,,,Low,no decisive current signal
