Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes,Decision,Decision_Reason,Verified_Source,Verified_Date,Verified_Country,Verified_Genre,Verified_Status,Confidence_New,Evidence
Mountain Jam Generator Party,,,,,https://www.facebook.com/MountainJamGeneratorParty,,,https://www.facebook.com/MountainJamGeneratorParty,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/MountainJamGeneratorParty,2026-09-23,,,,Low,no decisive current signal
Mystic,,,,,https://www.mysticfestival.pl/road-to-mystic/,,,https://www.mysticfestival.pl/road-to-mystic/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.mysticfestival.pl/road-to-mystic/,2026-09-23,,,,Low,no decisive current signal
NEXT FEST Music Showcase & Conference,,Poznań,,,,https://nextfest.pl/,,https://nextfest.pl/,,2026-09-22,,,,,,"2027 terminy potwierdzone w starej bazie, formuła zgłoszeń jeszcze do weryfikacji.",REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://nextfest.pl/,2026-09-23,,,,Low,no decisive current signal
Natalia Widuto,,,,,https://www.youtube.com/channel/UCzAeoUIxoH3Iu3sV75YRCbQ,,,https://www.youtube.com/channel/UCzAeoUIxoH3Iu3sV75YRCbQ,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.youtube.com/channel/UCzAeoUIxoH3Iu3sV75YRCbQ,2026-09-23,,,,Low,no decisive current signal
Nature Rock Fest,,,,,https://www.facebook.com/NatureRockFest,,,https://www.facebook.com/NatureRockFest,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/NatureRockFest,2026-09-23,,,,Low,no decisive current signal
Nietakt,,,,,https://www.facebook.com/profile.php?id=61553442868128,,,https://www.facebook.com/profile.php?id=61553442868128,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/profile.php?id=61553442868128,2026-09-23,,,,Low,no decisive current signal
Nullizmatyka,,,,,https://www.facebook.com/NulloSPG/,,,https://www.facebook.com/NulloSPG/,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.facebook.com/NulloSPG/,2026-09-23,,,,Low,no decisive current signal
Ostrów Rock Festival,,,,,https://ostrowrockfestival.pl/,,,https://ostrowrockfestival.pl/,,2026-09-22,,,,,,,REMOVE,Entity name indicates event/media/venue/organisation rather than a band,https://ostrowrockfestival.pl/,2026-09-23,,,,High,entity-type rule
PIK Wrocław — Punkt Informacji Kulturalnej,,Wrocław,,wroclaw@pikplus.pl,,https://pik.wroclaw.pl/,,https://pik.wroclaw.pl/,,2026-09-22,,,,,,NOWY PROMO LEAD OSv2 RUN1. Gmail: brak wcześniejszego kontaktu na wroclaw@pikplus.pl.,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://pik.wroclaw.pl/,2026-09-23,,,,Low,no decisive current signal
Party San opener,,,,,https://www.party-san.de/en/informations/band-application,,,https://www.party-san.de/en/informations/band-application,,2026-09-22,,,,,,,REVIEW,No sufficiently reliable current activity signal after exact-name/source filtering,https://www.party-san.de/en/informations/band-application,2026-09-23,,,,Low,no decisive current signal
