Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes
Raw,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=21236,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Razorback,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=5080,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Reactory,Germany,Berlin,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=18118,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Reaper,Germany,Kassel,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=18624,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Rebellion,Germany,Frankfurt,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=3576,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Rebellious Spirit,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=16108,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Recon By Fire,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=20860,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Red Aim,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=202,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Red Circuit,Germany,Wiesbaden,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=11555,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Red Means No Mercy,Germany,Kassel,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=29460,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Red Raven,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=25328,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Refuge,Germany,Herne,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=19599,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Regicide Decease,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=13622,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Renounce Authority,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=13155,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Resurrected,Germany,Duisburg,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=4255,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Retaliation,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=16639,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Revel In Flesh,Germany,Swabia,death metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=12777,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Reverie,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=12310,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Rezet,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=24163,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Rigorious,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=31290,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Rise Of Kronos,Germany,Hamburg,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=32399,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Rites of Daath,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=25368,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Ritual,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=9395,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Riverside,Poland,Warsaw,"metal, progressive rock",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=9146,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Roadhog,Poland,Kraków,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=30575,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Robse,Germany,Frankfurt,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=31192,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Rock Wolves,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=23768,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Rodha,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=14110,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Root,Czechia,Brno,black metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=7094,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Rope Sect,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=29692,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Rose'n,Germany,Mannheim,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=21225,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Rotengeist,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=8385,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Rotten Totem,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=20075,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Rubufaso Mukufo,Czechia,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=9978,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Rugevit,Slovakia,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=15394,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Ruins,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=2841,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Ruins of Perception,Germany,Berlin,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=29615,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Rukia,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=15441,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Running Death,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=17931,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Running Wild,Germany,Hamburg,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=1255,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Rust2Dust,Slovakia,Bratislava,"modern, thrash metal",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=17038,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Sacred Gate,Germany,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=13639,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Sacred Steel,Germany,Ludwigsburg,"epic power, heavy metal",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=3012,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,Official 2026/27 tour + Wacken/Keep It True update
