Name,Country,City,Genre,Email,Social,Website,Links,Source_URL,Activity,Research_Date,Status,Confidence,Contact_Type,Contact_Source,Outreach_Readiness,Notes
Kill,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=15928,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Killchain,Slovakia,,death metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=5003,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Kingdom,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=15826,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Knife,Germany,Marburg,"black, speed metal",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=30001,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed,2026 listings
Kohorta,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=16600,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Konklawe,Poland,,,,https://www.facebook.com/profile.php?id=61572576320879,,,https://www.facebook.com/profile.php?id=61572576320879,Current public source checked 2026-09-23,2026-09-23,Active,High
Kult Mogil,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=21217,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Landscape Of Shadows,Slovakia,,"death metal, groove",,,,,https://www.burnfestopenair.sk/program/,2026 activity verified,2026-09-23,Active,High,,,Contact page/source needed,2026 Burn Fest lineup
Leash Eye,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=11870,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Leatherwitch,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=32933,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Leśne Licho,Poland,Podkowa Leśna/Warsaw,"black metal, folk",,,,,https://www.metal-archives.com/bands/Le%C5%9Bne_Licho/3540328446,Active — Metal Archives + 2026 tour activity checked 2026-09-23,2026-09-23,Active,High,,,,Social footprint verified; add city/contact during next pass.
Lithium,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=19540,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Lord Stereo,Poland,Warsaw,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=12485,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Lord Wind,Poland,Wroclaw,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=12748,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Lost Soul,Poland,Wroclaw,technical death metal,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=1652,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Lucille,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=32427,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Lunacy,Poland,Warsaw,"metalcore, progressive death metal",,,,,https://www.metal-archives.com/bands/Lunacy/3540467784,Active — Metal Archives record checked 2026-09-23,2026-09-23,Active,High,,,,Current record/addition verified in 2026.
Lunatic Soul,Poland,,progressive rock,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=18930,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Lux Perpetua,Poland,Warsaw,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=24534,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Macocha,Czechia,,"black, crust metal, sludge",,,,,https://www.burnfestopenair.sk/program/,2026 activity verified,2026-09-23,Active,High,,,Contact page/source needed,2026 festival/tour listing
Made of Hate,Poland,Warsaw,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=5813,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Malchus,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=23338,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Malokarpatan,Slovakia,Bratislava,"black metal, heavy",,,,,https://www.metalunderground.com/bands/details.cfm?bandid=31387,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,Contact page/source needed
Manhünt,Poland,Poznań,"death, thrash metal",,,,,https://www.metal-archives.com/bands/Manh%C3%BCnt/3540572100,Active — Metal Archives record checked 2026-09-23,2026-09-23,Active,High,,,,Current record/addition verified in 2026.
Manipulation,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=21431,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Mardom,Poland,Łódź,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=31995,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Masachist,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=5891,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
Mass Insanity,Poland,,,,,,,https://www.metalunderground.com/bands/details.cfm?bandid=11081,Active — Metal Underground checked 2026-09-23,2026-09-23,Active,High,,,,Directory snapshot; refresh with social/contact research.
